station_latitude;station_longitude;station_name;station_no;catchment_no;catchment_name;LANUV_Info_1;LANUV_Info_2;LANUV_Info_3;LANUV_MW;LANUV_HN7W;LANUV_MN7W;LANUV_N7W
51.3149689766964;8.53695266313108;Olsberg-Bruchhausen_HB_NRW;46178323;276;Ruhreinzugsgebiet;;;;;;;
51.5284564065679;8.99713707050921;Warburg-Scherfede_WW_NRW;44206257;;---;;;;;;;
51.6349833323338;9.25702798838117;Borgentreich-Borgholz_WW_NRW;43126455;4;Weserzuflüsse;;;;;;;
52.197974;7.201541;Ochtrup_KA_NRW;37096308;928;IJssel-, Berkel- und Vechteeinzugsgebiet;;;;;;;
50.709207475734;6.28597724582628;Stolberg-Zweifall_2_NRW;52039062;282;Rureinzugsgebiet;;;;;;;
50.4099015775231;6.37362796665571;Hellenthal-Udenbreth_NRW;55048925;928;IJssel-, Berkel- und Vechteeinzugsgebiet;;;;;;;
50.753751338883;7.45386007479663;Eitorf-Lascheid_NRW;52100032;272;Siegeinzugsgebiet Östlich;;;;;;;
51.9669647407105;6.99754379229194;Gescher_KA_NRW;40076316;928;IJssel-, Berkel- und Vechteeinzugsgebiet;;;;;;;
51.7147447074935;9.10572611158118;Driburg,_Bad-Herste_KA_NRW;42200027;4;Weserzuflüsse;;;;;;;
50.7073954703484;6.52699186579172;Kreuzau-Thum_RÜB_NRW;52050061;282;Rureinzugsgebiet;;;;;;;
51.0124497305566;6.04166515760409;Gangelt-Birgden_RÜB_NRW;49020041;286;Niers- und Schwalmeinzugsgebiet;;;;;;;
51.8490356113479;8.86363503203768;Schlangen-Oesterholz_WW_NRW;41190017;278;Lippeeinzugsgebiet;;;;;;;
50.8777186706928;6.61620875397173;Kerpen-Haus-Forst_Deponie_NRW;51050021;274;Erfteinzugsgebiet;;;;;;;
51.6967468861802;8.87131331040787;Paderborn-Dahl_HB_NRW;43190223;278;Lippeeinzugsgebiet;;;;;;;
51.583655970085;8.97103004928422;Lichtenau-Kleinenberg_NRW;44190026;278;Lippeeinzugsgebiet;;;;;;;
50.9574677094493;7.98810907918552;Kreuztal_KA_NRW;50138934;272;Siegeinzugsgebiet Östlich;;;;;;;
52.308826112805;7.59505068666429;Hörstel_KA_NRW;36110111;3;Emseinzugsgebiet;;;;;;;
51.9456390045504;9.14553775022963;Schieder-Schwalenberg_NRW;40200017;4;Weserzuflüsse;;;;;;;
52.0885607206287;8.65848811704688;Herford-Elverdissen_RÜB_NRW;39170996;4;Weserzuflüsse;;;;;;;
52.150379040752;8.47725037403471;Spenge_KA_NRW;38160017;3;Emseinzugsgebiet;;;;;;;
50.9872475657569;7.43949795302995;Engelskirchen-Ründeroth_KA_NRW;50100032;272;Siegeinzugsgebiet Östlich;;;;;;;
51.4217569270312;7.14364968149355;Hattingen-Niederwenigern_Betriebshof_NRW;45083465;276;Ruhreinzugsgebiet;;;;;;;
51.6850195141339;9.30911987040012;Beverungen-Drenke_PW_NRW;43211486;4;Weserzuflüsse;;;;;;;
51.7164362484826;8.77111728309125;Paderborn-Kernstadt_NRW;42180046;278;Lippeeinzugsgebiet;;;;;;;
50.7751133350037;7.42076565406546;Eitorf_KA_NRW;52100012;272;Siegeinzugsgebiet Östlich;;;;;;;
50.9480862338419;6.10342011548732;Übach-Palenberg-Frelenberg_KA_NRW;50020021;282;Rureinzugsgebiet;;;;;;;
51.4939707389243;7.77421312085485;Fröndenberg-Hohenheide_RÜB_NRW;45120565;278;Lippeeinzugsgebiet;;;;;;;
51.8236093136005;8.93853637851287;Horn,_Bad-Meinberg-Feldrom_WW_NRW;41190110;4;Weserzuflüsse;;;;;;;
51.0873376464083;8.10549843416602;Kirchhundem-Herrntrop_NRW;49148764;276;Ruhreinzugsgebiet;;;;;;;
51.5801761900535;8.7167816518837;Wünneberg-BadHaaren_RÜB_NRW;44181831;278;Lippeeinzugsgebiet;;;;;;;
52.1841255477998;8.99225947986936;Kalletal-Varenholz-Stemmen_KA_NRW;38190067;4;Weserzuflüsse;;;;;;;
51.5100030788529;6.37590988018253;Geldern-Vernum_WW_NRW;44048926;286;Niers- und Schwalmeinzugsgebiet;;;;;;;
51.5410117550223;8.06949622130539;Soest-Meiningsen_HRB_NRW;44145039;278;Lippeeinzugsgebiet;;;;;;;
52.0019899298448;8.40104082450548;Steinhagen_KA_NRW;39169741;3;Emseinzugsgebiet;;;;;;;
52.1120552714161;9.15657359002508;Rinteln-Goldbeck_HB_NRW;38208795;4;Weserzuflüsse;;;;;;;
51.6277499987516;8.25408800556216;Erwitte-Böckum_KA_NRW;43157153;278;Lippeeinzugsgebiet;;;;;;;
51.919201003223;7.59039900063903;Münster-Amelsbüren_KA_NRW;40118055;3;Emseinzugsgebiet;;;;;;;
50.7353845312876;7.43353589249632;Eitorf-Lindscheid_HB_NRW;52106461;272;Siegeinzugsgebiet Östlich;;;;;;;
51.7101106167827;7.55274313325804;Nordkirchen-Südkirchen_NRW;42117118;278;Lippeeinzugsgebiet;;;;;;;
50.8630445273646;8.07945444837851;Wilnsdorf-Niederdielfen_KA_NRW;51141131;272;Siegeinzugsgebiet Östlich;;;;;;;
52.037073580646;6.81081918516839;Vreden_KA_NRW;39067108;928;IJssel-, Berkel- und Vechteeinzugsgebiet;;;;;;;
51.1514549549333;8.07304552081987;Lennestadt-Elspetal_NRW;48148524;276;Ruhreinzugsgebiet;;;;;;;
50.8540226896505;8.17179086663217;Netphen-Helgersdorf_HB_NRW;51154403;272;Siegeinzugsgebiet Östlich;;;;;;;
51.5444954443341;8.55090374728917;Büren_NRW;44170037;278;Lippeeinzugsgebiet;;;;;;;
51.5492727137965;6.95096376944436;Bottrop-Eigen-Vestische_NRW;44075066;2772;Emschereinzugsgebiet;;;;;;;
51.3098221821151;7.24646225463117;Wuppertal-Nächstebreck_NRW;46090023;2736;Wuppereinzugsgebiet;;;;;;;
50.4016180773758;6.45772105892244;Dahlem-Esterbach_Gestüt_NRW;55040051;928;IJssel-, Berkel- und Vechteeinzugsgebiet;;;;;;;
50.9941825800279;7.79611322280113;Drolshagen-Brachtpe_HB_NRW;50120578;276;Ruhreinzugsgebiet;;;;;;;
50.9852963153812;6.79262924561363;Pulheim-Geyen_NRW;50065112;2;Rheingraben-Nord;;;;;;;
52.156430905947;8.87680896197615;Vlotho-Valdorf_WW_HB_NRW;38194326;4;Weserzuflüsse;;;;;;;
51.4874473815664;8.89258366894379;Marsberg-Mitte_KA_NRW;45190026;44;Diemeleinzugsgebiet;;;;;;;
51.4313310813257;7.42109227800088;Witten-Schnee_NRW;45100195;2772;Emschereinzugsgebiet;;;;;;;
51.7482032446793;8.95432783350438;Altenbeken-Buke_WW_NRW;42196073;278;Lippeeinzugsgebiet;;;;;;;
51.7767240699032;5.98434913831434;Kranenburg_Kreuzfurth_NRW;42020033;2;Rheingraben-Nord;;;;;;;
0.0;0.0;Warburg-Hohenwepel_RUEB_NRW;44206586;;---;;;;;;;
51.8188017087989;6.23883416586955;Kleve-Warbeyen_NRW;41030023;2;Rheingraben-Nord;;;;;;;
51.4032902579682;8.47045681161515;Brilon-Esshoff_KA_NRW;45169583;278;Lippeeinzugsgebiet;;;;;;;
50.9573819942674;6.4365520062069;Jülich-Güsten_KA_NRW;50040031;274;Erfteinzugsgebiet;;;;;;;
51.408643463972;7.35818197629571;Witten-Gedern_NRW;45100185;276;Ruhreinzugsgebiet;;;;;;;
51.7659638020507;9.36908840586228;Höxter_Fachhochschule_NRW;42220042;4;Weserzuflüsse;;;;;;;
51.8049779782787;7.05601454961116;Reken-Bahnhof_RÜB_NRW;41080106;278;Lippeeinzugsgebiet;;;;;;;
